bea350,::1,GET,http://localhost/foodchurch/web/index,1504898972,,200
9a89a3,::1,GET,http://localhost/foodchurch/web/index,1504899060,,200
1504a8,::1,GET,http://localhost/foodchurch/web/index,1504899325,,200
46babc,::1,GET,http://localhost/foodchurch/web/index,1504899479,,200
5bc005,::1,GET,http://localhost/foodchurch/web/index,1504899773,,200
369015,::1,POST,http://localhost/foodchurch/web/totais,1504899779,,200
a03b4a,::1,POST,http://localhost/foodchurch/web/totais,1504899780,,200
4f17dd,::1,GET,http://localhost/foodchurch/web/index,1504899981,,200
3746e0,::1,POST,http://localhost/foodchurch/web/totais,1504899983,,200
f1427c,::1,GET,http://localhost/foodchurch/web/index,1504900010,,200
5aec73,::1,POST,http://localhost/foodchurch/web/totais,1504900013,,200
35d04f,::1,GET,http://localhost/foodchurch/web/index,1504900028,,200
55b712,::1,POST,http://localhost/foodchurch/web/totais,1504900030,,200
1875c4,::1,GET,http://localhost/foodchurch/web/index,1504900051,,200
523c63,::1,GET,http://localhost/foodchurch/web/index,1504900083,,200
c2d008,::1,POST,http://localhost/foodchurch/web/totais,1504900086,,200
555bdc,::1,GET,http://localhost/foodchurch/web/index,1504900105,,200
a338ce,::1,POST,http://localhost/foodchurch/web/totais,1504900113,,200
2f9298,::1,GET,http://localhost/foodchurch/web/index,1504900127,,200
a91d3b,::1,POST,http://localhost/foodchurch/web/totais,1504900129,,200
bf04a1,::1,GET,http://localhost/foodchurch/web/index,1504900136,,200
c53165,::1,GET,http://localhost/foodchurch/web/index,1504900158,,200
e2dbbc,::1,POST,http://localhost/foodchurch/web/totais,1504900161,,200
c44105,::1,GET,http://localhost/foodchurch/web/index,1504900167,,200
d14cb2,::1,GET,http://localhost/foodchurch/web/index,1504900176,,200
374e32,::1,POST,http://localhost/foodchurch/web/totais,1504900178,,200
749004,::1,GET,http://localhost/foodchurch/web/index,1504900199,,200
2ada72,::1,POST,http://localhost/foodchurch/web/totais,1504900201,,200
771fad,::1,POST,http://localhost/foodchurch/web/totais,1504900205,,200
52aefb,::1,POST,http://localhost/foodchurch/web/totais,1504900207,,200
328891,::1,POST,http://localhost/foodchurch/web/save,1504900209,,200
11ec4b,::1,POST,http://localhost/foodchurch/web/totais,1504900212,,200
3c5d1d,::1,GET,http://localhost/foodchurch/web/index,1504900237,,200
3ed030,::1,GET,http://localhost/foodchurch/web/index,1504900260,,200
ea4a65,::1,POST,http://localhost/foodchurch/web/totais,1504900263,,200
c6281e,::1,POST,http://localhost/foodchurch/web/save,1504900264,,200
def3dd,::1,POST,http://localhost/foodchurch/web/totais,1504900265,,200
579a39,::1,GET,http://localhost/foodchurch/web/index,1504900480,,200
191372,::1,GET,http://localhost/foodchurch/web/index,1504900483,,200
3543ef,::1,GET,http://localhost/foodchurch/web/index,1504900546,,200
aaa839,::1,GET,http://localhost/foodchurch/web/index,1504900547,,200
3961ac,::1,GET,http://localhost/foodchurch/web/index,1504900550,,200
40cba0,::1,GET,http://localhost/foodchurch/web/index,1504900554,,200
3be9b3,::1,GET,http://localhost/foodchurch/web/index,1504900558,,200
3af36b,::1,GET,http://localhost/foodchurch/web/index,1504900579,,200
4ec519,::1,GET,http://localhost/foodchurch/web/index,1504900615,,200
cad834,::1,GET,http://localhost/foodchurch/web/index,1504900620,,200
